"Number","Name","Meaning"
"63","ॐ प्रसन्नात्मने नमः
om prasannātmane namaḥ","salutations to the joyous (cheerful) one"
"64","ॐ फलासक्तिरहिताय नमः
om phalāsaktirahitāya namaḥ","salutations to the one who is free from attachment to the fruits of actions"
"65","ॐ बहुभक्ताय नमः
om bahubhaktāya namaḥ","salutations to the one with many devotees"
"66","ॐ बन्धमोचकाय नमः
om bandha-mocakāya namaḥ","salutations to the one who is liberated from bondage"
"67","ॐ ब्रह्मनिष्ठाय नमः
om brahma-niṣṭhāya namaḥ","salutations to the one who is firmly established in brahman"
"68","ॐ ब्रह्मपराय नमः
om brahma-parāya namaḥ","salutations to the one for whom reveling in brahman is the supreme goal"
"69","ॐ भयनाशनाय नमः
om bhaya-nāśanāya namaḥ","salutations to the one who is the destroyer of fear"
"70","ॐ भारतगौरवाय नमः
om bhārata-gauravāya namaḥ","salutations to the one who is the pride of bharata (India)"
"71","ॐ भूम्ने नमः
om bhūmne namaḥ","salutations to the one who is the infinite"
"72","ॐ महावाक्योपदेशकाय नमः
om mahāvākyopadeśakāya namaḥ","salutations to the teacher of the great statements of truth (in the upanishads)"
"73","ॐ महर्षये नमः
om maharṣaye namaḥ","salutations to the one who is a great sage"
"74","ॐ मधुरस्वभावाय नमः
om madhura-svabhāvāya namaḥ","salutations to the one who has a sweet nature"
"75","ॐ मनोहराय नमः
om manoharāya namaḥ","salutations to the one who has a charming persona"
"76","ॐ महात्मने नमः
om mahātmane namaḥ","salutations to the one who is a great soul"
"77","ॐ मेधाविने नमः
om medhāvine namaḥ","salutations to the one who is a scholar"
"78","ॐ यतात्मने नमः
om yatātmane namaḥ","salutations to the one who is self-controlled"
"79","ॐ यज्ञकृते नमः
om yajñakṛte namaḥ","salutations to the one who has performed jnaana yajnas (given vedantic talks)"
"80","ॐ लोकप्रसिद्धाय नमः
om loka-prasiddhāya namaḥ","salutations to the one who is world renowned"
"81","ॐ वाग्मिने नमः
om vāgmine namaḥ","salutations to the eloquent one"
"82","ॐ विभवे नमः
om vibhave namaḥ","salutations to the all-pervading one"
"83","ॐ विनोदप्रियाय नमः
om vinoda-priyāya namaḥ","salutations to the one who loves humor"
"84","ॐ विनयशीलाय नमः
om vinaya-śīlāya namaḥ","salutations to the one who is humble"
"85","ॐ वीतरागाय नमः
om vītarāgāya namaḥ","salutations to the one who is free from all attachments (likes and dislikes)"
"86","ॐ वेदान्तवेद्याय नमः
om vedānta-vedyāya namaḥ","salutations to the one who is to be known through (the study of) vedanta"
"87","ॐ शान्ताय नमः
om śāntāya namaḥ","salutations to the one who is peace (peaceful)"
"88","ॐ शान्तिप्रदाय नमः
om śānti-pradāya namaḥ","salutations to the one who gives peace (to all)"
"89","ॐ शास्त्रोद्धारकाय नमः
om śāstroddhārakāya namaḥ","salutations to the one who uplifts the scriptures (scriptural teachings)"
